0,로터,200,
1,바이브,500,
2,전기안마기,5000,
3,애널바이브,5000,
4,페니스밴드,2000,
5,아이마스크,4000,
6,비디오카메라,7000,
7,클리캡,2000,
8,유두캡,3000,
9,볼재갈,1000,
10,채찍,200,
11,바늘,5000,
12,오나홀,4000,
13,플레이매트,5000,;목욕탕에서 플레이의 폭이 넓어진다
14,밧줄,3000,
15,관장기구세트,9000,
16,큰거울,30000,;수치플레이가 가능하게 된다
17,착유기,1500,
18,개목걸이,5000,;야외플레이가 가능하게 된다
19,에이프런,10000,;새댁플레이가 가능하게 된다
20,애널비즈,7000,
21,공기펌프,10000,
22,확장벌룬,30000,
23,전극플러그,50000,
24,촉수사역술,10000,;촉손조교가 가능하게 된다
25,로션,200,
26,미약,2000,
27,이뇨제,1000,
28,비디오테이프,500,;비디오카메라의 사용에 필요. 일회용
29,콘돔,100,;피임하는 것이야말로 사랑
30,식기세트,2000,;여체성찬를 실행하기 위해서 필요
31,뚜껑달린병,1000,;모유나 황금수를 채취하기 위해서 필요
33,배란유발제,50000,;임신다투는 것도 또 사랑의 형태
34,긴급피임약,2000,;모닝아후타필 에 대해. 질내사정하고 싶지만임신은 싫다면 위가 상 향해라
35,기저귀,100,;일회용
;;25~38번 까지는 복수 구입할 수 있는 도구용의 테두리에
	;;40차례로부터는 신규에 실장된 조교 아이템을. 지금까지는 59번만 별도 기준 취급인 것은 조교 강화의 도구이기 때문에
40,쿠스코,10000,
41,주사기세트,50000,
42,청진기,30000,;의사플레이가 가능하게 된다
43,사라시,20000,;노예의 것이슴에사라시를 감는 것이 할 수 있도록 된다
44,학교수영복,50000,;스쿨미즈플레이가 가능하게 된다. 프리 사이즈
45,마이크,40000,;야외라이브를 열 수가 있다
46,플래카드,4000,;공중 변소 플레이를 하기 위해서 필요
51,빗,1000,;머리카락을 빗고 빌려줄 수가 있게 된다
52,코타츠,20000,;겨울철의 필수품으로 해、일본 최대의 발명품！전원이 없는 경우의 열원은 화로와 함께
59,편집기재,50000,;비디오 매각 가격이 오른다
	;;60차례로부터는능력획득의 아이템을.
60,【기교Lv】,5000,;플레이어의 것기교을 상승
61,【촬영기능】,30000,; プレイヤーのABL:撮影技術をあげる
62,【불결무시】,10000,;플레이어에 ABL:불결무시가 붙는다
63,【새드】,50000,;플레이어에 ABL:새드가 붙는다
64,【조루】,10000,;플레이어에 ABL:조루가 붙는다
65,【조합지식】,80000,;플레이어에 ABL:조합지식가 붙는다
66,【금단의지식】,80000,;플레이어에 ABL:금단의지식가 붙는다
67,【변신마법】,50000,;플레이어에 ABL:변신마법를 사용하는 정도의 것능력이 붙는다
68,【결계조작】,50000,;플레이어에 ABL:결계를 조정한다 정도의 것능력이 붙는다
	;;70차례로부터는 체질 변화의 약등을.「？약의 재료」는 CSV만 남아、실제의 SHOP에는 처리가 없었기 때문에 삭제
70,건강해지는약,1000,;체력를 회복한다
71,약재료(후타),20000,;후타나리로 한다
72,약재료(소거),10000,;후타나리를 소거한다
73,파란사탕,20000,;몸이 성장하는 캔디. 모유체질가 된다
74,빨간사탕,20000,;몸이 젊어지는 캔디. 처녀막이 재생한다
75,풍유환,20000,;가슴의 크기를 1 단계 올린다. 폭유사용 불가
76,축유환,10000,;가슴의 크기를 1 단계 내린다. 절벽사용 불가
77,지유제,5000,;모유가 나오지 않게 된다
78,실금개선약,5000,;오줌싸게버릇이 회복된다.
79,노란사탕,20000,;태아를 조기 출산시켜 모태외에서 기르게 된다. 임신안에 사용하면산란 한다
	;;80차례 이후는 무엇인가 특수한 아이템의 테두리에
80,금색사탕,30000,;작은몸집소유를 성장시킨다
81,검은사탕,50000,;EX화 시킨다
83,무지개색사탕,500000,;플레이어의 성별을 바꾼다
;85,인게이지링,1000000,;전부를 버려、사랑하는 그 아이와 부부가 된다
86,붉은목줄,1000000,;주인의 전속 노예가 되는 계약을 세운 증거
87,예속의증표,100000,;영원히주인의 첩가 되는 맹세한 증거
98,기억소거약,100000,;처녀,후타나리,모유체질、경험、감각의 변화를 남긴 상태로、나머지의 파라미터를 모두 초기화
;99,【첫달의증표】,10,;처음달 모드에 돌입

